0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:00 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:00 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:00 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:00 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:00 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:08 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:08 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:08 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:08 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:08 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:38 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:38 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:38 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:38 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:38 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:49 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:50 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:50 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:50 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:15:50 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:22:42 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:22:42 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:22:42 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:22:42 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:22:42 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:48 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:48 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:48 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:48 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:48 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:54 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:54 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:54 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:54 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:54 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:59 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:59 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:59 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:59 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:24:59 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:16 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:16 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:16 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:16 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:16 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:21 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:21 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:21 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
